DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_14, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_150_3867__BC5N_DEV_SL_NoDBufED9A90__854229C8CBD1AE11F7AFD8752151B0464365AE4B, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=90598 bytes, Retrieved=true, Duration=0.097446ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_15, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_430_3899__BC5N_DEV_SL_NoDBufED9A90__B84064CD978B8F48B7EEC31017AFC4397F48AD47, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=48397 bytes, Retrieved=true, Duration=0.063863ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_16, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_150_3867__BC5N_DEV_SL_NoDBufED9A90__7F780A700D23B0D7620030D6709C282B0A3564E8, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=48154 bytes, Retrieved=true, Duration=0.058167ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_17, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_430_3899__BC5N_DEV_SL_NoDBufED9A90__EFBAC8999FF37F3194926B2CE3EEA14B220B31C0, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=128859 bytes, Retrieved=true, Duration=0.112135ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_18, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_150_3867__BC5N_DEV_SL_NoDBufED9A90__18D23B0DB45EEEF4B13D87663EA96681F721A54F, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=128328 bytes, Retrieved=true, Duration=0.090849ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_19, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_430_3899__BC5N_DEV_SL_NoDBufED9A90__3DF6F3C8E613BCD5FAFA5CD01601E3CC2494E515, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=128638 bytes, Retrieved=true, Duration=0.089951ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_20, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_150_3867__BC5N_DEV_SL_NoDBufED9A90__90306FA3D755C965A8B3E3C5C1BC285C30DEC8A8, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=128107 bytes, Retrieved=true, Duration=0.077959ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_21, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_21__27332BED7EEB4BCFC645A8495DBDD296BC92845C, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=36762 bytes, Retrieved=true, Duration=0.050675ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_22, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_572BACBB4C0F7A7E5__3E548DD4356165E327B3FDBD52328D445BA9E3FF, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=5894 bytes, Retrieved=true, Duration=0.035383ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_23, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_572BACBB4C0F7A7E5E958FB3CA3C35D__C2850DB5A2961110725E32467314D7B18AB25CB6, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=15253 bytes, Retrieved=true, Duration=0.045575ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
